"Animal"	"Talla"	"Peso"	"Sexo"
1	72.2874653123633	2820.65907214056	"Hembra"
2	79.8055713306206	5638.81506312374	"Macho"
3	62.4055042056974	5263.20574947239	"Hembra"
4	75.1447085082418	7397.47175922712	"Macho"
5	85.8212959923481	6742.14949232116	"Macho"
6	84.6591155865205	6754.63151371128	"Hembra"
7	72.8985666945861	7674.79498714272	"Hembra"
8	82.3911445951657	4528.75643744843	"Macho"
9	74.0750631048212	3430.98836751396	"Hembra"
10	77.4443805180726	6032.7697731774	"Hembra"
11	72.0201403058315	4604.84760429762	"Hembra"
12	80.3690538614787	5669.30080972928	"Macho"
13	73.1151437582589	4768.41521196966	"Macho"
14	79.271217111136	7350.09216297664	"Hembra"
15	70.6085547533416	6325.63466118587	"Hembra"
16	85.1073817370495	8526.11880929275	"Macho"
17	74.3933575280541	3466.11252535536	"Hembra"
18	83.6423705418058	6798.91582598168	"Hembra"
19	81.4726384810412	5532.68827453626	"Macho"
20	74.5384159045991	6025.23772794729	"Macho"
21	78.3761250210066	4908.61098028614	"Hembra"
22	81.5382307027702	5843.39132051061	"Macho"
23	61.3209680471131	4945.57565747751	"Macho"
24	75.7330428915837	6775.9455591257	"Hembra"
25	77.5719027285732	6413.18490493657	"Hembra"
26	72.9621704148418	6354.36228481724	"Hembra"
27	81.6137122331197	4910.12578736518	"Macho"
28	84.0340103260841	6243.34239726367	"Hembra"
29	75.1722742330849	5610.44320273242	"Macho"
30	80.3059065761339	6035.64676349871	"Macho"
31	76.7026196665156	5311.96975813873	"Macho"
32	75.1862991759371	7040.76708557264	"Macho"
33	71.1155840737007	6983.53680245915	"Macho"
34	78.8452353538519	4193.30016465144	"Macho"
35	85.7500532711605	8636.03914488174	"Hembra"
36	68.5445863286927	5639.0260615722	"Hembra"
37	75.1396786372344	6350.74814569163	"Hembra"
38	83.5714428867265	5766.40830258543	"Hembra"
39	82.6468303922604	4435.08411699812	"Hembra"
40	76.8258549234857	7036.36767350779	"Macho"
41	78.6228643448311	5032.13000375826	"Macho"
42	72.0024263367671	5195.01660515845	"Macho"
43	77.3734612129431	6592.87798660594	"Macho"
44	69.6716241162713	7688.91927840353	"Macho"
45	80.0185013791397	7821.33639976352	"Macho"
46	77.2627317452615	4844.8520315728	"Hembra"
47	79.4464617354609	5683.22794099538	"Hembra"
48	71.33834688068	8197.34660173605	"Hembra"
49	71.2380312473503	5749.10243296562	"Hembra"
50	88.8122935006426	5947.83364162501	"Hembra"
51	76.8194987327281	6634.4266686964	"Macho"
52	77.9878331428607	6982.86128306983	"Hembra"
53	74.5341073466441	6720.5028254224	"Macho"
54	78.207437327515	5523.99018996194	"Hembra"
55	74.7634697273378	5216.36946291222	"Hembra"
56	81.9344583635197	5854.7670131936	"Macho"
57	73.2000188360763	6933.08454916527	"Hembra"
58	70.4573943266336	3499.0501522921	"Macho"
59	79.9629875609374	6563.39063116523	"Hembra"
60	78.5859448088471	4955.88147966271	"Macho"
61	76.1035903026169	6478.07999003176	"Macho"
62	88.602595315874	5125.43138621988	"Hembra"
63	74.6656581545757	6210.1309002284	"Macho"
64	91.0957358786216	6212.71885761577	"Hembra"
65	73.2337278364504	5100.71375592789	"Hembra"
66	84.0684368735051	5390.71165883608	"Macho"
67	83.3952618298738	4717.29372449874	"Macho"
68	83.0574282332135	4993.17005696107	"Hembra"
69	73.3614204948363	6088.39651980217	"Hembra"
70	70.3477038915746	4563.19297110937	"Hembra"
71	78.7682766921925	5523.85183478079	"Macho"
72	72.597462993581	5509.59990733892	"Hembra"
73	74.859528483353	6383.06346169641	"Hembra"
74	75.2204442052901	7675.44450084568	"Hembra"
75	78.4815125632842	4528.81612621962	"Hembra"
76	75.2610637874091	5791.82852155311	"Hembra"
77	71.7500182906353	4949.01875594207	"Hembra"
78	73.0630784112476	2626.9973735355	"Hembra"
79	70.0735375099972	6523.70028373639	"Macho"
80	80.857515575503	7449.4675739811	"Hembra"
81	81.108032964188	6298.46279225437	"Macho"
82	71.2971033949777	7389.75283775203	"Hembra"
83	75.7869062851204	5806.58668707984	"Hembra"
84	79.3744858107468	4623.94646474561	"Macho"
85	74.64965822264	5603.58268277359	"Macho"
86	85.613244789185	6210.69258252075	"Hembra"
87	77.0913601084536	4736.27816452298	"Macho"
88	69.2070310394152	5136.60590367711	"Macho"
89	72.6438714931482	5961.30439744635	"Macho"
90	80.969211893919	5075.7432877417	"Hembra"
91	77.1146988156274	5706.58550838186	"Macho"
92	86.4641810971524	4978.08697884771	"Macho"
93	76.7147422426885	4204.92359130212	"Macho"
94	78.2684503841171	5906.02270218029	"Hembra"
95	78.6677040300395	6846.54000213644	"Macho"
96	81.8782931128929	7544.62702961873	"Macho"
97	71.5387324405406	6074.93557319323	"Macho"
98	76.7497503132847	7394.84990295535	"Macho"
99	74.8724740628406	5401.82030725239	"Macho"
100	67.3672238299508	7248.96186555853	"Hembra"
